Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Pradorey Gran Reserva,Real Sitio de la Ventosilla (Pradorey),Castilla y León,Ribera del Duero,2009.0,Red,"Tempranillo (95%), Cabernet Sauvignon (3%), Merlot (2%)",15.0,16.0,40.0
Guitián Fermentado en Barrica,Bodegas A Tapada,Galicia,Valdeorras,1998.0,White,Godello (100%),12.0,16.5,13.82
Raimat Cabernet Sauvignon El Molí,Raimat,Cataluña,Costers del Segre,1994.0,Red,Cabernet Sauvignon (100%),13.5,16.0,15.0
Valsacro Tinto Crianza,Bodegas Valsacro,La Rioja (España),Rioja,1997.0,Red,"Tempranillo (50%), Otras (40%), Mazuelo (10%)",13.0,14.5,18.0
Ruiz Villanueva Maceración Carbónica,Bodega Ecológica Bruno Ruiz,Castilla La Mancha,Otros Castilla La Mancha,1999.0,Red,Tempranillo (100%),12.0,12.5,4.5
Valsacro Blanco FB,Bodegas Valsacro,La Rioja (España),Rioja,1997.0,White,"Viura (90%), Chardonnay (10%)",12.0,10.0,12.0
Lusco,Adega Pazos de Lusco,Galicia,Rías Baixas,1996.0,White,Albariño (100%),13.0,17.0,7.0
Bodega Pirineos Merlot-Cabernet,Bodega Pirineos,Aragón,Somontano,1998.0,Red,"Merlot, Cabernet Sauvignon",13.5,15.5,6.61
Guitián Merenzao,Bodegas A Tapada,Galicia,Valdeorras,1999.0,White,Merenzao (100%),12.0,13.5,8.41
Fontal Crianza,Bodegas Fontana,Castilla La Mancha,La Mancha,1997.0,Red,"Tempranillo (85%), Cabernet Sauvignon (15%)",13.0,13.5,5.41
Cosme Palacio y Hermanos,Bodegas Palacio,La Rioja (España),Rioja,1997.0,Red,Tempranillo (100%),12.5,13.0,11.42
Faustino de Crianza,Bodegas Faustino,La Rioja (España),Rioja,1996.0,Red,"Graciano (5%), Cencibel (4%)",13.0,12.0,6.61
Calzadilla Syrah,Bodega y Viñedos Uribes Madero,Castilla La Mancha,Otros Castilla La Mancha,1997.0,Red,Syrah (100%),13.0,12.0,7.2
L'Alzinar Ull de Llebre Crianza,Vins El Cep,Cataluña,Penedès,1998.0,Red,"Ull de Llebre (90%), Cabernet Sauvignon (10%)",12.5,12.0,6.0
Fontal Joven,Bodegas Fontana,Castilla La Mancha,La Mancha,1998.0,Red,Cencibel (100%),12.5,11.5,4.51
Montesierra Macabeo,Bodega Pirineos,Aragón,Somontano,1999.0,White,Macabeo (100%),13.0,10.0,3.46
Gramona Pinot Noir rosado,Gramona,Cataluña,Penedès,1999.0,Rose,Pinot Noir (100%),11.5,12.5,9.0
Doña Beatriz,Bodegas Cerrosol,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,15.0,3.75
Oro de Castilla Verdejo,Bodega Hermanos del Villar,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,13.5,3.6
Oro de Castilla Sauvignon,Bodega Hermanos del Villar,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.0,3.91
José Pariente,Bodegas José Pariente,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,13.0,4.81
Mantel Blanco,Álvarez y Díez,Castilla y León,Rueda,1999.0,White,Otras (100%),12.0,13.0,4.06
Mantel Blanco Sauvignon Blanc,Álvarez y Díez,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,12.0,4.66
Palacio de Bornos,Bodegas Palacio de Bornos,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,15.0,4.15
Bornos Sauvignon Blanc,Bodegas Palacio de Bornos,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.5,5.95
Palacio de Menade Sauvignon Blanc,"Cuevas de Castilla, S.A.",Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.0,5.95
Palacio de Menade,"Cuevas de Castilla, S.A.",Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,11.5,4.15
Marqués de Riscal Reserva Limousin,Bodegas de los Herederos del Marqués de Riscal,Castilla y León,Rueda,1996.0,White,Verdejo (100%),12.5,15.0,9.92
Oro de Castilla Fermentado en Barrica,Bodega Hermanos del Villar,Castilla y León,Rueda,1998.0,White,Verdejo (100%),12.5,14.5,6.61
Castelo NobleFermentado en Barrica,Bodegas Castelo de Medina,Castilla y León,Rueda,1999.0,White,Otras (%),12.5,14.0,6.31
Palacio de Bornos Verdejo F.B.,Bodegas Palacio de Bornos,Castilla y León,Rueda,1998.0,White,Verdejo (100%),12.5,13.0,5.95
Mantel BlancoFermentado en Barrica,Álvarez y Díez,Castilla y León,Rueda,1998.0,White,Verdejo (100%),13.0,12.0,6.6
Caus Lubis Tinto Crianza,Can Ràfols dels Caus,Cataluña,Penedès,1996.0,Red,Merlot (100%),13.0,14.0,40.5
FuentespinaTinto Reserva,Bodegas Fuentespina,Castilla y León,Ribera del Duero,1996.0,Red,Tempranillo (100%),13.0,12.5,12.0
Gran Caus Tinto Crianza,Can Ràfols dels Caus,Cataluña,Penedès,1996.0,Red,Otras (%),13.0,15.5,14.85
La Ribera de Castilla Tinto Crianza,Bodegas Cerrosol,Castilla y León,Otros Castilla y León,1996.0,Red,Tempranillo (100%),13.0,12.5,5.25
Protos Reserva,Bodegas Protos,Castilla y León,Ribera del Duero,1996.0,Red,Tempranillo (100%),13.5,16.0,16.85
Fuentespina Tinto Crianza,Bodegas Fuentespina,Castilla y León,Ribera del Duero,1997.0,Red,Tempranillo (100%),13.0,13.5,8.7
Valdemoya Tinto Crianza,Hijos de Alberto Gutiérrez,Castilla y León,Otros Castilla y León,1997.0,Red,"Cabernet Sauvignon (50%), Tempranillo (50%)",13.0,14.5,3.5
Viña Cobranza Tinto Crianza,Bodegas Mocén,Castilla y León,Otros Castilla y León,1997.0,Red,"Tempranillo (85%), Cabernet Sauvignon (15%)",13.0,14.0,4.8
Elías Mora Tinto Crianza,Bodegas Elías Mora,Castilla y León,Otros Castilla y León,1998.0,Red,Tempranillo (100%),13.0,14.5,10.2
L'AngeletTinto Crianza,Bodegas Palmera,Comunidad Valenciana,Utiel-Requena,1998.0,Red,Tempranillo (100%),13.0,14.5,9.0
Sotomonte (semicrianza),Bodegas Veracruz (Aldial),Castilla y León,Otros Castilla y León,1998.0,Red,Otras (%),13.0,11.5,3.3
Benengeli,Bodegas Enomar,Castilla La Mancha,La Mancha,1999.0,Red,Tempranillo (100%),12.5,12.0,3.1
Amant,Bodegas Palacio de Bornos,Castilla y León,Toro,1999.0,Red,Tinta de Toro (100%),13.5,12.5,4.4
Amant Novillo,Bodegas Palacio de Bornos,Castilla y León,Toro,1999.0,Red,Tinto Fino (100%),13.5,11.5,4.95
Vacceos,Bodega Cuatro Rayas,Castilla y León,Otros Castilla y León,1999.0,Red,Tempranillo (100%),12.5,10.5,2.95
Vega Sauco Tinto crianza,Bodegas Vega Saúco,Castilla y León,Toro,1999.0,Red,"Tinto de Toro (90%), Garnacha (10%)",13.5,11.5,4.4
Pazo de Señorans Selección de Añada,Pazo de Señorans,Galicia,Rías Baixas,1996.0,White,Albariño (100%),12.5,16.0,18.0
Abadía de San Campío,Bodegas Terras Gauda,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,14.5,7.5
Lagar de Cervera,Lagar de Fornelos,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,14.0,8.4
Pazo San Mauro Albariño (emb. 12-3-00),Pazo San Mauro,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,13.5,9.0
Terras Gauda,Bodegas Terras Gauda,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,13.5,8.4
Pazo San Mauro Condado do Tea,Pazo San Mauro,Galicia,Rías Baixas,1999.0,White,"Albariño (70%), Treixadura (20%), Loureiro (5%), Torrontés (5%)",12.0,13.0,6.0
Viña Ludy,Bodegas La Val,Galicia,Rías Baixas,1999.0,White,Albariño (60%),11.5,12.5,7.4
Señorío de Sobral,Señorío de Sobral,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.5,6.0
Valdumia,Valdumia,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.5,6.25
La Val,Bodegas La Val,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.0,7.2
Heretat Vall-Ventós Cabernet Sauvignon,Heretat Vall-Ventós,Cataluña,Penedès,1998.0,Red,Cabernet Sauvignon (100%),13.0,15.5,9.6
Jaume Serra Cabernet Sauvignon,Jaume Serra,Cataluña,Penedès,1998.0,Red,Cabernet Sauvignon (100%),13.0,15.0,3.0
Jean Leon Merlot,Jean Leon,Cataluña,Penedès,1997.0,Red,Merlot (100%),13.0,14.5,11.7
Jaume Serra Tempranillo (4 meses barrica),Jaume Serra,Cataluña,Penedès,1998.0,Red,Tempranillo (100%),12.5,14.0,3.0
Negre Clàssic Parató,Parató Vinícola,Cataluña,Penedès,1997.0,Red,"Tempranillo (70%), Cabernet Sauvignon (30%)",12.5,14.0,5.85
Heretat Vall-Ventós Viña Bordoy,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Red,Tempranillo (100%),12.0,13.5,5.6
Heretat Vall-Ventós Rosat Primer,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Rose,"Pinot Noir (75%), Merlot (25%)",12.0,12.5,4.5
Jaume Serra Tempranillo (8 meses barrica),Jaume Serra,Cataluña,Penedès,1998.0,Red,Tempranillo (100%),12.0,12.5,3.0
Duc de Foix Cabernet,Vinícola del Penedés,Cataluña,Penedès,1995.0,Red,Cabernet Sauvignon (100%),12.5,12.0,5.7
Heretat Vall-Ventós Merlot,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Red,Merlot (100%),12.5,12.0,7.8
Jaume Serra Merlot,Jaume Serra,Cataluña,Penedès,1998.0,Red,Merlot (100%),13.0,12.0,3.0
Jaume Serra Tempranillo Rosado,Jaume Serra,Cataluña,Penedès,1999.0,Rose,Tempranillo (100%),11.5,12.0,1.95
Albet i Noya Pinot Noir-Merlot D'Anyada,Albet i Noya,Cataluña,Penedès,1999.0,Rose,"Merlot (60%), Pinot Noir (40%)",12.5,11.5,4.5
Duc de Foix Rosado,Vinícola del Penedés,Cataluña,Penedès,1999.0,Rose,Cabernet Sauvignon (100%),12.0,11.5,2.7
Mas Florit Gran Selección,"Más Florit, S.A.",Cataluña,Penedès,1996.0,Red,Ull de Llebre (100%),12.0,11.5,4.5
Albet i Noya Xarel·lo d'Anyada,Albet i Noya,Cataluña,Penedès,1999.0,White,"Xarel·lo (90%), Pinot Noir (10%)",12.5,13.0,3.74
Petit Caus Blanco,Can Ràfols dels Caus,Cataluña,Penedès,1999.0,White,Otras (%),11.5,12.0,3.95
