Wine,Winery,Country,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Pradorey Gran Reserva,Real Sitio de la Ventosilla (Pradorey),España,Castilla y León,Ribera del Duero,2009,Tinto,"Tempranillo (95%), Cabernet Sauvignon (3%), Merlot (2%)",15.00,16.0,40.00
Guitián Fermentado en Barrica,Bodegas A Tapada,España,Galicia,Valdeorras,1998,Blanco,Godello (100%),12.00,16.5,13.82
Casa Castillo Monastrell de Pie Franco,Casa Castillo,España,Murcia,Jumilla,1998,Tinto,Monastrell (100%),,16.5,"
Ines"
Marqués de Alella Allier,Parxet,España,Cataluña,Alella,1999,Blanco,Chardonnay (100%),13.00,16.0,"
Arom"
Raimat Cabernet Sauvignon El Molí,Raimat,España,Cataluña,Costers del Segre,1994,Tinto,Cabernet Sauvignon (100%),13.50,16.0,15.00
Raimat Cabernet Sauvignon Vallclara,Raimat,España,Cataluña,Costers del Segre,1994,Tinto,Cabernet Sauvignon (100%),13.50,15.5,"
Muy "
,N/D,,N/D,N/D,Tipo:  Sin-definir,Alcohol: º,Ph: ,Azucar residual: gr.,,€ / 0
Leopold Sommer Riesling Classic,Weingut Leopold Sommer,Austria,N/D,Burgenland,1999,Blanco,Riesling (100%),12.00,15.0,"
Envo"
Veronés Tinto Tempranillo,S.A.T. Santa Rita,España,Castilla La Mancha,La Mancha,1999,Tinto,Tempranillo (100%),13.00,15.0,"
Colo"
Casa Castillo Las Gravas,Casa Castillo,España,Murcia,Jumilla,1998,Tinto,"Monastrell (60%), Cabernet Sauvignon (40%)",,15.0,"
Arom"
,N/D,,N/D,N/D,Tipo:  Sin-definir,Alcohol: º,Ph: ,Azucar residual: gr.,,€ / 0
Sepp Moser Grüner Veltliner Riede Wolfsgraben,Sepp Moser,Austria,Baja Austria,Kremstal,1998,Blanco,Grüner Veltliner (100%),12.00,14.5,"
jove"
Veronés Cencibel,S.A.T. Santa Rita,España,Castilla La Mancha,La Mancha,1998,Tinto,Cencibel (100%),12.50,14.5,"
Nota"
Valsacro Tinto Crianza,Bodegas Valsacro,España,La Rioja (España),Rioja,1997,Tinto,"Tempranillo (50%), Otras (40%), Mazuelo (10%)",13.00,14.5,18.00
Franz Hirtzberger Rotes Tor Grüner Veltliner Federspiel,Weingut Franz Hirtzberger,Austria,N/D,Otros Austria,1999,Blanco,Grüner Veltliner (100%),12.00,14.5,"
Arom"
Leopold Sommer Grüner Veltliner M'99,Weingut Leopold Sommer,Austria,N/D,Burgenland,1999,Blanco,Grüner Veltliner (100%),12.50,14.5,"
Arom"
Schloss Gobelsburg Riesling vom Urgestein,Weingut Schloss Gobelsburg,Austria,Baja Austria,Kamptal,1999,Blanco,Riesling (100%),12.00,14.5,"
Nota"
Martínez Bermell Merlot,Bodegas CVCRE,España,Comunidad Valenciana,Utiel-Requena,1999,Tinto,Merlot (100%),12.00,14.0,"
Es u"
Casa de La Ermita,Bodegas y Viñedos Casa de la Ermita,España,Murcia,Jumilla,1999,Tinto,"Tempranillo, Cabernet Sauvignon, Monastrell",13.00,14.0,"
Buen"
Sepp Moser Riesling Hochgebling,Sepp Moser,Austria,Baja Austria,Kremstal,1999,Blanco,Riesling (100%),13.00,13.5,"
Un t"
